Sprint,Day,Developer,Module,Task ID,Task,Priority,Status,Files Involved,Dependencies,Acceptance Criteria,Estimated Effort,Notes
Sprint 3,Day 3,Lovable,Landing Page,L-304,Verify region switching works across all 14 regions,Medium,Not Started,src/components/landing/RegionSwitcherNav.tsx; src/config/regionalLandingConfig.ts,L-101,All regions selectable and content changes correctly,2 hours,14 regions: NAM EUR MENA India Africa etc.
Sprint 3,Day 3,Claude,Genie Spark,C-301,Fix SmartContentPipeline AI generation,High,Not Started,src/components/genie-studio/SmartContentPipeline.tsx,C-101,AI generates script content from user prompts,3 hours,80KB component - core of Spark
Sprint 3,Day 3,Claude,Genie Spark,C-302,Fix SparkGuidedWizard step-by-step flow,High,Not Started,src/components/genie-spark/SparkGuidedWizard.tsx,C-301,All wizard steps complete and advance correctly,2 hours,Depends on SmartContentPipeline
Sprint 3,Day 3,Claude,Genie Spark,C-303,Fix script save via useGenieScripts,High,Not Started,src/components/genie-studio/useGenieScripts.ts,C-301; C-302,Scripts save to Supabase genie_scripts table,2 hours,Shared hook - also used by Mind
Sprint 3,Day 3,Claude,Genie Spark,C-304,Verify Spark end-to-end: prompt → generate → save → appears in DB,High,Not Started,src/pages/GenieSpark.tsx,C-301; C-302; C-303,Full Spark workflow creates and persists a script,1 hour,Manual verification
Sprint 3,Day 3,Both,All,S-301,End of Day 3 build check and sync,High,Not Started,npm run build,All Day 3 tasks,Build passes; Deck + Spark working,30 min,Two modules complete
Sprint 4,Day 4,Lovable,Landing Page,L-401,Mobile responsiveness polish,High,Not Started,src/components/landing/**,L-101,Landing page renders correctly on mobile viewports,3 hours,Test 320px 375px 768px breakpoints
Sprint 4,Day 4,Lovable,Landing Page,L-402,SEO verification - meta tags and social sharing,Medium,Not Started,src/components/landing/RegionalLandingPage.tsx,None,OG tags and meta descriptions present per region,2 hours,HelmetProvider manages head
Sprint 4,Day 4,Lovable,Landing Page,L-403,Performance optimization - lazy loading and image sizes,Medium,Not Started,src/components/landing/**,None,Lighthouse score improved; no unnecessary eager loads,2 hours,Check React.lazy usage
Sprint 4,Day 4,Lovable,Landing Page,L-404,Cross-browser testing of landing page,Low,Not Started,src/components/landing/**,All landing tasks,Landing works on Chrome Firefox Safari Edge,1 hour,Focus on Chrome + Safari
Sprint 4,Day 4,Claude,Genie Mind,C-401,Fix ScriptEditorTab - script loading and editing,High,Not Started,src/components/genie-studio/ScriptEditorTab.tsx,C-303,Scripts load from DB and can be edited,3 hours,127KB file - largest component
Sprint 4,Day 4,Claude,Genie Mind,C-402,Fix SavedAudioCard voiceover display,Medium,Not Started,src/components/genie-studio/SavedAudioCard.tsx,None,Voiceovers display with playback controls,1 hour,Audio metadata from generated_media
Sprint 4,Day 4,Claude,Genie Mind,C-403,Fix CrossFunctionalMusic generation,Medium,Not Started,src/components/genie-studio/CrossFunctionalMusic.tsx,None,Music generation UI works and audio saves,2 hours,Cross-product feature
Sprint 4,Day 4,Claude,Genie Mind,C-404,Verify Spark → Mind flow: script from Spark appears in Mind,High,Not Started,src/pages/GenieMind.tsx; src/pages/GenieSpark.tsx,C-303; C-401,Navigate from Spark to Mind; script is loaded and editable,1 hour,Critical pipeline test
Sprint 4,Day 4,Both,All,S-401,End of Day 4 build check and sync,High,Not Started,npm run build,All Day 4 tasks,Build passes; all 3 CREATE modules working,30 min,Three modules complete
Sprint 5,Day 5,Lovable,All,L-501,Final verification: all landing routes work,High,Not Started,/genie-landing/nam /explore /products /pricing,All landing tasks,All 4 landing routes load without errors,1 hour,Route-by-route test
Sprint 5,Day 5,Lovable,All,L-502,Verify navigation: landing → auth → genie-studio,High,Not Started,Landing page CTA links,L-501,User can navigate from landing to login to studio,1 hour,Cross-module navigation test
Sprint 5,Day 5,Lovable,All,L-503,Run npm run build and prepare merge,High,Not Started,Full codebase,L-501; L-502,Build passes; branch ready for merge,30 min,Must wait for Claude to merge first
Sprint 5,Day 5,Lovable,All,L-504,Rebase onto main and merge,High,Not Started,Git operations,L-503; C-504,Clean merge with no conflicts,30 min,Lovable merges AFTER Claude
Sprint 5,Day 5,Claude,All,C-501,Final verification: all GenieSuite CREATE routes work,High,Not Started,/genie-spark /genie-mind /genie-deck,All Claude tasks,All 3 CREATE routes load without errors,1 hour,Route-by-route test
Sprint 5,Day 5,Claude,All,C-502,Verify QuadrantNavigation between Spark/Mind/Deck,High,Not Started,src/components/navigation/QuadrantNavigation.tsx,C-501,Navigation tabs switch between modules correctly,30 min,Top nav bar test
Sprint 5,Day 5,Claude,All,C-503,Verify full pipeline: create in Spark → edit in Mind → Deck standalone,High,Not Started,All 3 pages,C-501; C-502,End-to-end workflow completes,1 hour,Pipeline integration test
Sprint 5,Day 5,Claude,All,C-504,Run npm run build and merge to main,High,Not Started,Full codebase,C-501; C-502; C-503,Build passes; merged to main cleanly,30 min,Claude merges FIRST
Sprint 5,Day 5,Both,All,S-501,Final build check on main after both merges,High,Not Started,npm run build on main,L-504; C-504,Main branch builds; all routes work,30 min,Final acceptance gate
,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,
,,,,,,,,,,,
,Lovable Tasks,,,,18,,,,,,,
,Claude Tasks,,,,18,,,,,,,
,Sync Tasks,,,,5,,,,,,,
,Total Tasks,,,,41,,,,,,,
,,,,,,,,,,,
LOCKED FILES,File,Reason,,,,,,,,,
,src/constants/genie-products.ts,Product definitions - used by both landing + genie,,,,,,,,,
,src/hooks/useMasterAuth.tsx,Auth state - single source of truth,,,,,,,,,
,src/components/auth/ProtectedRoute.tsx,Route access control,,,,,,,,,
,src/components/auth/GenieStudioProtectedRoute.tsx,Genie auth guard,,,,,,,,,
,src/components/layout/AppLayout.tsx,Main app layout,,,,,,,,,
,src/components/layout/GenieStudioLayout.tsx,Genie layout,,,,,,,,,
,src/integrations/supabase/**,Database layer,,,,,,,,,
,src/config/genieStudioNavItems.ts,Nav items + tier gating,,,,,,,,,
